ScrapeTimestamp,IndexCode,SYMBOL,NAME,LDCP,CURRENT,CHANGE,CHANGE (%),IDX WTG (%),IDX POINT,VOLUME,SHARES (M),MARKET CAP (M)
2026-07-02 06:55:06,ACI,DGKC,D.G. Khan Cement Company Limited,227.14,229.30,2.16,0.95%,8.86%,20.65,"4,501,040",300,"68,706"
2026-07-02 06:55:06,ACI,NML,Nishat Mills Limited,160.42,166.30,5.88,3.67%,4.64%,40.60,"4,494,310",216,"35,990"
2026-07-02 06:55:06,ACI,MUGHAL,Mughal Iron & Steel Industries Limited,88.35,90.58,2.23,2.52%,1.34%,8.17,"3,112,127",115,"10,396"
2026-07-02 06:55:06,ACI,FCCL,Fauji Cement Company Limited,59.28,59.63,0.35,0.59%,9.03%,13.11,"2,725,794","1,174","70,022"
2026-07-02 06:55:06,ACI,FFL,Fauji Foods Limited,17.85,17.93,0.08,0.45%,1.59%,1.76,"2,684,526",689,"12,360"
2026-07-02 06:55:06,ACI,SNGP,Sui Northern Gas Pipelines Limited,119.63,120.65,1.02,0.85%,6.07%,12.70,"2,418,284",390,"47,099"
2026-07-02 06:55:06,ACI,GATM,Gul Ahmed Textile Mills Limited,30.26,31.30,1.04,3.44%,1.02%,8.40,"2,172,550",253,"7,921"
2026-07-02 06:55:06,ACI,LUCK,Lucky Cement Limited,472.38,483.01,10.63,2.25%,10.16%,55.31,"1,889,249",163,"78,781"
2026-07-02 06:55:06,ACI,PSO,Pakistan State Oil Company Limited,346.12,352.00,5.88,1.70%,7.49%,30.95,"1,269,579",165,"58,083"
2026-07-02 06:55:06,ACI,ANL,Azgard Nine Limited,11.19,11.44,0.25,2.23%,0.49%,2.65,"904,441",332,"3,798"
2026-07-02 06:55:06,ACI,ILP,Interloop Limited,106.18,105.49,-0.69,-0.65%,5.22%,-8.44,"774,999",383,"40,451"
2026-07-02 06:55:06,ACI,ASL,Aisha Steel Mills Limited,13.07,13.34,0.27,2.07%,0.77%,3.84,"658,313",445,"5,939"
2026-07-02 06:55:06,ACI,NATF,National Foods Limited,399.24,415.20,15.96,4.00%,4.27%,40.59,"567,315",80,"33,098"
2026-07-02 06:55:06,ACI,ISL,International Steels Limited,90.18,91.50,1.32,1.46%,2.46%,8.77,"320,982",208,"19,055"
2026-07-02 06:55:06,ACI,GLAXO,GlaxoSmithKline Pakistan Limited,376.11,378.31,2.20,0.59%,4.25%,6.11,"318,282",87,"32,959"
2026-07-02 06:55:06,ACI,INIL,International Industries Limited,169.32,172.50,3.18,1.88%,1.81%,8.24,"121,955",81,"14,003"
2026-07-02 06:55:06,ACI,MTL,Millat Tractors Limited,305.21,305.80,0.59,0.19%,9.21%,4.40,"108,490",234,"71,455"
2026-07-02 06:55:06,ACI,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,106.99",18.96,0.91%,7.86%,17.50,"27,456",29,"60,972"
2026-07-02 06:55:06,JSGBKTI,BOP,The Bank of Punjab,36.31,36.95,0.64,1.76%,11.40%,154.18,"32,059,653","4,275","157,951"
2026-07-02 06:55:06,JSGBKTI,NBP,National Bank of Pakistan,205.01,208.90,3.89,1.90%,10.26%,149.21,"4,756,205",681,"142,182"
2026-07-02 06:55:06,JSGBKTI,HBL,Habib Bank Limited,307.45,307.70,0.25,0.08%,11.32%,7.18,"2,779,686",510,"156,826"
2026-07-02 06:55:06,JSGBKTI,UBL,United Bank Limited,479.73,489.99,10.26,2.14%,13.73%,224.47,"2,451,457",388,"190,223"
2026-07-02 06:55:06,JSGBKTI,BAFL,Bank Alfalah Limited,61.40,62.60,1.20,1.95%,13.66%,204.44,"2,418,411","3,023","189,245"
2026-07-02 06:55:06,JSGBKTI,MCB,MCB Bank Limited,426.84,429.01,2.17,0.51%,13.45%,53.13,"1,761,569",434,"186,397"
2026-07-02 06:55:06,JSGBKTI,MEBL,Meezan Bank Limited,553.45,559.92,6.47,1.17%,14.99%,135.25,"927,521",371,"207,690"
2026-07-02 06:55:06,JSGBKTI,BAHL,Bank AL Habib Limited,177.99,175.75,-2.24,-1.26%,11.20%,-111.49,"467,860",883,"155,216"
2026-07-02 06:55:06,MII30,MLCF,Maple Leaf Cement Factory Limited,107.43,109.00,1.57,1.46%,1.69%,5.83,"13,052,604",471,"51,383"
2026-07-02 06:55:06,MII30,KEL,K-Electric Limited,8.33,8.39,0.06,0.72%,0.76%,1.30,"9,913,309","2,762","23,169"
2026-07-02 06:55:06,MII30,PAEL,Pak Elektron Limited,45.42,45.85,0.43,0.95%,0.77%,1.72,"8,543,188",508,"23,292"
2026-07-02 06:55:06,MII30,SEARL,The Searle Company Limited,94.58,97.80,3.22,3.41%,0.95%,7.46,"5,892,285",294,"28,764"
2026-07-02 06:55:06,MII30,DGKC,D.G. Khan Cement Company Limited,227.14,229.30,2.16,0.95%,1.65%,3.73,"4,501,040",219,"50,230"
2026-07-02 06:55:06,MII30,NML,Nishat Mills Limited,160.42,166.30,5.88,3.67%,0.87%,7.33,"4,494,310",158,"26,312"
2026-07-02 06:55:06,MII30,FCCL,Fauji Cement Company Limited,59.28,59.63,0.35,0.59%,1.69%,2.37,"2,725,794",858,"51,192"
2026-07-02 06:55:06,MII30,SNGP,Sui Northern Gas Pipelines Limited,119.63,120.65,1.02,0.85%,1.01%,2.04,"2,418,284",254,"30,607"
2026-07-02 06:55:06,MII30,ENGROH,Engro Holdings Limited,294.09,292.57,-1.52,-0.52%,9.28%,-11.53,"2,189,095",963,"281,858"
2026-07-02 06:55:06,MII30,OGDC,Oil & Gas Development Company Limited,334.91,339.20,4.29,1.28%,7.20%,21.79,"2,088,689",645,"218,831"
2026-07-02 06:55:06,MII30,LUCK,Lucky Cement Limited,472.38,483.01,10.63,2.25%,6.99%,36.79,"1,889,249",440,"212,283"
2026-07-02 06:55:06,MII30,PPL,Pakistan Petroleum Limited,243.74,246.50,2.76,1.13%,5.43%,14.55,"1,692,418",669,"165,025"
2026-07-02 06:55:06,MII30,FABL,Faysal Bank Limited,101.46,101.90,0.44,0.43%,1.53%,1.58,"1,423,094",455,"46,396"
2026-07-02 06:55:06,MII30,PSO,Pakistan State Oil Company Limited,346.12,352.00,5.88,1.70%,2.72%,10.87,"1,269,579",235,"82,627"
2026-07-02 06:55:06,MII30,JVDC,Javedan Corporation Limited,153.48,154.73,1.25,0.81%,0.97%,1.87,"1,237,152",190,"29,465"
2026-07-02 06:55:06,MII30,HUBC,The Hub Power Company Limited,233.14,234.70,1.56,0.67%,7.52%,11.95,"1,085,603",973,"228,332"
2026-07-02 06:55:06,MII30,FFC,Fauji Fertilizer Company Limited,572.17,576.90,4.73,0.83%,15.03%,29.48,"1,029,725",791,"456,595"
2026-07-02 06:55:06,MII30,MEBL,Meezan Bank Limited,553.45,559.92,6.47,1.17%,8.30%,22.93,"927,521",450,"252,042"
2026-07-02 06:55:06,MII30,EFERT,Engro Fertilizers Limited,199.87,200.00,0.13,0.07%,3.96%,0.62,"859,097",601,"120,177"
2026-07-02 06:55:06,MII30,FATIMA,Fatima Fertilizer Company Limited,161.12,164.48,3.36,2.09%,1.71%,8.33,"840,914",315,"51,811"
2026-07-02 06:55:06,MII30,SYS,Systems Limited,149.57,149.50,-0.07,-0.05%,4.35%,-0.49,"837,330",884,"132,164"
2026-07-02 06:55:06,MII30,ILP,Interloop Limited,106.18,105.49,-0.69,-0.65%,0.97%,-1.52,"774,999",280,"29,573"
2026-07-02 06:55:06,MII30,MARI,Mari Energies Limited,673.75,673.10,-0.65,-0.10%,5.32%,-1.23,"476,394",240,"161,628"
2026-07-02 06:55:06,MII30,GLAXO,GlaxoSmithKline Pakistan Limited,376.11,378.31,2.20,0.59%,0.79%,1.10,"318,282",64,"24,096"
2026-07-02 06:55:06,MII30,ATRL,Attock Refinery Limited,873.63,878.95,5.32,0.61%,1.23%,1.79,"173,971",43,"37,484"
2026-07-02 06:55:06,MII30,MTL,Millat Tractors Limited,305.21,305.80,0.59,0.19%,1.81%,0.83,"108,490",180,"54,911"
2026-07-02 06:55:06,MII30,CHCC,Cherat Cement Company Limited,346.69,347.00,0.31,0.09%,1.22%,0.26,"38,563",107,"37,081"
2026-07-02 06:55:06,MII30,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,106.99",18.96,0.91%,1.47%,3.16,"27,456",21,"44,576"
2026-07-02 06:55:06,MII30,COLG,Colgate-Palmolive (Pakistan) Limited,"1,262.27","1,265.00",2.73,0.22%,1.01%,0.52,"10,149",24,"30,711"
2026-07-02 06:55:06,MII30,SRVI,Service Industries Limited,"2,344.15","2,325.00",-19.15,-0.82%,1.80%,-3.54,"2,803",23,"54,623"
